0:00:00;900;14;0;2
1:38:00;900;14;0;2
3:00:00;900;14;0;2
6:00:00;900;14;0;2
8:00:00;900;14;0;2
9:00:00;900;14;0;2
10:00:00;900;14;0;2
11:00:00;900;14;0;2
12:00:00;900;14;0;2
12:30:00;900;14;0;2
13:00:00;900;14;0;2
13:30:00;900;14;0;2
14:00:00;900;14;0;2
14:30:00;900;14;0;2
15:00:00;900;14;0;2
15:30:00;900;14;0;2
16:00:00;900;14;0;2
16:30:00;900;14;0;2
17:00:00;900;14;0;2
17:30:00;900;14;0;2
18:00:00;900;14;0;2
18:30:00;900;14;0;2
19:00:00;900;14;0;2
20:00:00;900;14;0;2
21:00:00;900;14;0;2
22:00:00;900;14;0;2
23:00:00;900;14;0;2
